title,company,location,semantic_similarity,first_seen_date,url
Bodeguero/a Full Time - Preunic Concepción,Preunic,"Concepción, Biobío",0.3903,2026-08-05,https://salcobrand.trabajando.cl/trabajo-empleo/bodeguero-a-full-time-preunic-concepcion/trabajo/6109256
Analista de Compensaciones Sr,Tottus,"Santiago, Metropolitana, Chile",0.3902,2026-08-05,https://falabella.airavirtual.com/postula/I08S2hQbNPoIfneCHjLK?logged_action=apply&register=true
Bodeguero/a Full Time - Preunic Coronel,Preunic,"Coronel, Biobío",0.3899,2026-08-05,https://salcobrand.trabajando.cl/trabajo-empleo/bodeguero-a-full-time-preunic-coronel/trabajo/6109328
Ingeniero de Procesos,Empresas Carozzi,"San Bernardo, Metropolitana de Santiago",0.3836,2026-08-05,https://carozzi.trabajando.cl/trabajo-empleo/ingeniero-de-procesos/trabajo/6109338
Bodeguero/a Full Time - Preunic Mall Arauco Quilicura,Preunic,"Quilicura, Metropolitana de Santiago",0.3771,2026-08-05,https://salcobrand.trabajando.cl/trabajo-empleo/bodeguero-a-full-time-preunic-mall-arauco-quilicura/trabajo/6109347
Consultor SAP FI,Falabella Corporativo,"Santiago, Metropolitana, Chile",0.3708,2026-08-05,https://falabella.airavirtual.com/postula/IwtpUVqhJ2EQrVp9pRo2?logged_action=apply&register=true
Mecánico Industrial - San Bernardo NOS,Empresas Carozzi,"San Bernardo, Metropolitana de Santiago",0.3703,2026-08-05,https://carozzi.trabajando.cl/trabajo-empleo/mecanico-industrial-san-bernardo-nos/trabajo/6109646
IT Analyst,Falabella Financiero,"Las Condes, Metropolitana, Chile",0.3664,2026-08-05,https://falabella.airavirtual.com/postula/ucvvgxWtf3lPuIxofzDR?logged_action=apply&register=true
Skincare Beauty F/ Part Time 20 hrs Sábado y Domingo/ Falabella Costanera,Falabella Retail,"Providencia, Metropolitana, Chile",0.3635,2026-08-05,https://falabella.airavirtual.com/postula/1C8HBPuvhgaRJikISEb1?logged_action=apply&register=true
"Account Representative, Eats SMB INT (Sales Plan)",uber,"Santiago, Chile",0.358,2026-08-05,https://www.uber.com/global/en/careers/list/303401/
Category Manager Nuevos Negocios,Ripley,Ofi Cerro Colorado 5240 - Comercial,0.3577,2026-08-05,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/23924?c=ripley
Administrador de Servicios ,Empresas Carozzi,"San Bernardo, Metropolitana de Santiago",0.3573,2026-08-05,https://carozzi.trabajando.cl/trabajo-empleo/administrador-de-servicios/trabajo/6109567
Subgerente de Service Center - Mercado Envíos,mercadolibre,"Santiago,Chile",0.3562,2026-08-05,https://mercadolibre.eightfold.ai/careers/job/43651411
IT Support,Falabella Corporativo,"Santiago, Metropolitana, Chile",0.3553,2026-08-05,https://falabella.airavirtual.com/postula/uORh2yDJHHR4Hgamt8jv?logged_action=apply&register=true
Ejecutivo de Venta Producto Finan PT 18,Ripley,Tda Plaza Tobalaba (Gesic) - Nuevos Clientes,0.3545,2026-08-05,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/23308?c=ripley
